timestamp,open,high,low,close,volume
2013-07-26,280.2500,288.8200,278.9300,286.3800,3333500
2013-07-19,270.1700,280.7200,265.5000,280.7200,4208100
2013-07-12,259.9800,272.0300,255.2400,269.7400,4275800
2013-07-05,257.6100,261.6000,253.0000,257.2600,2163600
2013-06-28,246.3900,265.5000,240.6000,256.8500,6300400
2013-06-21,272.5600,279.3300,241.9900,248.6700,7097200
2013-06-14,279.0500,282.9100,264.7100,269.7300,4130200
2013-06-07,279.9400,281.5800,260.5200,280.2300,5108200
2013-05-31,285.4200,292.2900,279.1200,279.2000,2908300
2013-05-24,289.1000,298.1400,277.4470,283.3500,3627100
2013-05-17,275.7600,291.2090,275.4150,290.9500,2909200
2013-05-10,271.5500,278.8200,268.0300,276.6700,3034400
2013-05-03,264.1600,271.5950,260.6900,271.3400,3857900
2013-04-26,251.2400,264.6200,247.3800,263.7700,3402600
2013-04-19,260.0000,262.4600,243.5800,250.1600,4593700
2013-04-12,245.4700,265.5700,244.1000,263.1300,3045300
2013-04-05,256.5000,258.0000,241.0400,245.7900,4055800
2013-03-28,255.0000,258.6800,251.4400,256.8800,2386200
2013-03-22,254.1100,259.5671,250.6900,253.1300,3502000
2013-03-15,248.2700,257.7700,246.2800,256.7400,4305100
2013-03-08,236.2300,251.6960,236.0000,248.2700,4191300
2013-03-01,242.7000,243.6642,233.8000,236.8300,3592500
2013-02-22,243.4200,245.3600,235.3000,240.8700,3538500
2013-02-15,238.1800,247.0000,237.3100,242.9500,4909300
2013-02-08,232.1700,239.4900,231.6600,238.1600,3422600
2013-02-01,235.5900,238.5500,233.1600,236.8900,4256000
2013-01-25,234.1200,238.6200,234.0500,236.4200,4109100
2013-01-18,221.2300,234.4600,220.0600,233.9300,5412700
2013-01-11,217.6800,221.2600,214.0500,221.0100,3691000
2013-01-04,204.1600,218.8600,203.9100,218.0300,2780900
2012-12-28,209.8000,209.8000,202.7000,204.5100,1444000
2012-12-21,202.3100,209.9100,200.8900,206.7500,4870100
2012-12-14,194.7800,202.0900,194.0000,201.5300,3266300
2012-12-07,198.1300,199.3500,190.2400,194.7600,2952200
2012-11-30,194.4800,198.8800,192.8100,197.0400,3322000
2012-11-23,189.4600,195.6000,189.1500,195.5400,2375500
2012-11-16,187.2500,190.1600,185.2000,186.9900,4045300
2012-11-09,188.8200,191.8600,186.4700,186.8300,3892900
2012-11-02,189.0900,192.3100,188.3400,189.5200,2406800
2012-10-26,188.4900,190.2800,185.7108,186.9900,3318800
2012-10-19,186.5200,192.0800,184.3500,188.9400,6250900
2012-10-12,187.9400,190.3400,183.2550,184.3100,4447400
2012-10-05,179.5700,191.9900,175.4900,187.3900,5045500
2012-09-28,181.4400,182.2500,176.5500,178.3000,2540500
2012-09-21,182.5000,184.2700,179.9300,183.0000,3408200
2012-09-14,181.7000,185.4600,175.2900,183.0000,3875300
2012-09-07,176.7000,182.7300,175.3600,182.0200,1766400
2012-08-31,178.5300,179.4300,174.5000,176.3700,2072800
2012-08-24,177.7200,181.3400,175.5100,178.2700,1797600
2012-08-17,174.1100,180.0000,172.4100,178.7900,2058200
2012-08-10,173.8000,175.5500,172.6100,174.4100,2510400
2012-08-03,170.8500,173.7300,166.0000,173.1900,2623700
2012-07-27,170.3100,171.5350,163.8500,170.6700,4997600
2012-07-20,175.5100,176.9500,171.7400,173.3100,3346000
2012-07-13,171.5100,176.4000,169.4500,175.7800,4006400
2012-07-06,169.8100,174.5320,168.4600,171.2800,2708600
2012-06-29,169.1100,169.8700,163.2400,169.8200,5387000
2012-06-22,175.8600,177.3508,170.6600,172.0000,6230500
