timestamp;open;high;low;close;volume;company_id
2021-06-25;2410.0100;2461.9100;2397.9700;2450.1700;6245977;3
2021-06-18;2432.2600;2455.5100;2389.4000;2402.2200;7097746;3
2021-06-11;2389.4360;2441.7200;2381.0000;2430.2000;5708292;3
2021-06-04;2374.4400;2399.0300;2329.5200;2393.5700;4383753;3
2021-05-28;2314.8900;2389.0500;2311.9550;2356.8500;6627931;3
2021-05-21;2263.5700;2318.8900;2225.4400;2294.1300;7023399;3
2021-05-14;2328.1400;2331.0000;2193.6200;2278.3800;8834644;3
2021-05-07;2364.9100;2381.5500;2256.6800;2351.9300;7689265;3
2021-04-30;2304.5200;2431.3800;2286.1600;2353.5000;12181004;3
2021-04-23;2270.1800;2306.1175;2240.3200;2299.9300;6451925;3
2021-04-16;2254.1200;2296.0000;2227.8200;2282.7500;6358292;3
2021-04-09;2147.1500;2273.9700;2145.2050;2270.6700;8134694;3
2021-04-01;2022.1600;2135.7500;2005.4500;2129.7800;6812974;3
2021-03-26;2027.6300;2067.6000;1996.0900;2024.7300;7542742;3
2021-03-19;2044.9750;2113.6800;2002.9300;2026.9600;8114126;3
2021-03-12;2084.0600;2113.7400;2005.1900;2050.0000;7970435;3
2021-03-05;2048.0000;2106.2000;1994.0000;2097.0700;9391681;3
2021-02-26;2053.6000;2088.3200;1990.2300;2021.9100;8348509;3
2021-02-19;2091.7500;2145.1400;2083.4300;2088.8100;5562207;3
2021-02-12;2100.0000;2115.0000;2052.2400;2095.0300;5760739;3
2021-02-05;1844.5850;2106.6234;1844.5850;2088.8300;13938497;3
2021-01-29;1912.7400;1921.8200;1797.2800;1827.3600;13218469;3
2021-01-22;1743.0000;1932.0800;1732.8300;1892.5600;9860689;3
2021-01-15;1777.0200;1784.3800;1711.7100;1727.6200;7405602;3
2021-01-08;1760.0000;1799.3550;1696.1014;1797.8300;9084613;3
2020-12-31;1744.9100;1788.4700;1728.0000;1752.6400;4470716;3
2020-12-24;1709.1300;1744.1100;1694.0000;1734.1600;4331858;3
2020-12-18;1770.7200;1789.8000;1715.0000;1726.2200;9961441;3
2020-12-11;1815.5500;1829.2900;1733.5270;1774.8000;6063432;3
2020-12-04;1775.6500;1843.8300;1747.8400;1823.7600;7217695;3
2020-11-27;1740.2200;1797.0100;1710.1800;1787.0200;4207518;3
2020-11-20;1764.1400;1794.3400;1730.0200;1736.3800;5735466;3
